링크,제목,신문사,요약
http://v.media.daum.net/v/20200722202813688,"의대생 4천 명 증원 확정..의협 ""총파업 불사""",MBC,[뉴스데스크] ◀ 앵커 ▶ 코로나 19를 경험 하면서 수도권 이외 지역의 의료 공백이 얼마나 심각한지 여실히 드러났습니다. 정부가 의과 대학 정원을 늘리겠다는 이유도...
http://v.media.daum.net/v/20200723073143150,"진중권 ""한동훈 녹음테이프 들어보니..중앙지검이 거짓말했다""",머니투데이,"진중권 전 동양대 교수가 새롭게 공개된 '검언유착' 의혹으로 수사를 받는 이동재 전 채널A 기자와 한동훈 검사장의 녹취 음성 파일에 ""아무리 다시 들어봐도 빼놓은 부..."
http://v.media.daum.net/v/20200723030050855,"추미애 ""제대로 알고 질의하라"" 발끈.. 통합당 ""싸우려고 왔나""",동아일보,“(수명자 표현은)법전에 있다니까요. 그래서 어쨌다는 겁니까?”(추미애 법무부 장관) “왜 자꾸 따지려고 그래요. 싸우러 왔어요?”(김태흠 미래통합당 의원) 22일 오...
http://v.media.daum.net/v/20200722190931551,"추미애, '검언유착' 한동훈 겨냥 ""수사 끝나면 감찰""(종합)",연합뉴스,"(서울=연합뉴스) 이대희 이동환 기자 = 추미애 법무부 장관은 22일 이른바 '검언유착' 의혹으로 수사를 받는 한동훈 검사장과 관련해 ""수사가 끝나면 감찰하겠다""고 밝..."
http://v.media.daum.net/v/20200722201147491,"박원순 아이폰, 잠금 풀었다..피해자 측이 '비번' 제보(종합)",뉴시스,[서울=뉴시스] 심동준 기자 = 경찰이 고(故) 박원순 전 서울시장 휴대전화 비밀번호를 해제하고 본격적인 디지털포렌식 작업에 들어갔다. 이는 박 전 시장 사망 경위를 ...
http://v.media.daum.net/v/20200722163029528,"'박원순 추행' 알았던 20명→""예뻐서 그랬겠지""..파장예고",뉴시스,[서울=뉴시스] 천민아 기자 = 고(故) 박원순 전 서울시장에게 성추행로 고발한 피해자의 호소를 묵살해온 서울시청 관계자가 4년간 '20여명'에 달했다는 주장이 처음으...
http://v.media.daum.net/v/20200722182857597,"이재명 ""내년부터 공공부문 단기 비정규직에 더 많은 임금""",연합뉴스,"(의정부=연합뉴스) 노승혁 기자 = 이재명 경기지사는 22일 ""경기도가 공공부문 만이라도 정규직보다는 비정규직에게, 비정규직 중 고용기간이 짧을수록 더 많은 보수를 ..."
http://v.media.daum.net/v/20200722153747772,"""박지원, 다니지도 않은 조선대 성적표로 단국대 부정입학""(종합)",뉴시스,[서울=뉴시스] 김성진 기자 = 미래통합당이 22일 박지원 국가정보원장 후보자가 조선대학교 5학기 성적표를 허위 제출해 단국대학교에 부정 입학했다는 의혹을 제기했다...
http://v.media.daum.net/v/20200722182248482,"김태흠 ""싸우러 나왔나"" 추미애 ""망신주는 질문 말라""(종합)",연합뉴스,(서울=연합뉴스) 이대희 강민경 이은정 기자 = 추미애 법무부 장관이 22일 국회 대정부 질문에서 미래통합당 김태흠 의원과 감정이 섞인 고성을 주고받으며 설전을 벌였...
http://v.media.daum.net/v/20200723062911199,"'취임 1년' 윤석열, 두문불출 속 리더십 흔들..대망론만 쑥쑥",연합뉴스,(서울=연합뉴스) 민경락 기자 = 윤석열 검찰총장이 오는 25일 취임 1년을 맞는다. 취임 직후 조국 전 법무부장관 등 현 정부 인사를 겨냥한 수사를 지휘하면서 '예외 없...
http://v.media.daum.net/v/20200723070011608,"[단독]""환불해줘"" 영화배우 A씨, 골프장 캐디에 도넘은 횡포",아시아경제,"[아시아경제 컬처라이프부 이이슬 기자] ""잘못을 했다면 모르지만 꼭 그렇지만도 않은데 부당하게 공격받으니 착잡하고 모욕감마저 느껴지네요.""(골프장 경기보조원) ""..."
http://v.media.daum.net/v/20200723105513869,"태영호 ""주체사상 믿느냐"" 이인영 ""지금도 이전에도 아냐""",YTN,[태영호 / 미래통합당 의원] 반갑습니다. 우선 장관 후보자로 지명되신 걸 축하합니다. 저는 다른 사람들보다도 후보자님에 대한 궁금증이랄까 이런 게 대단히 많고요. ...
http://v.media.daum.net/v/20200723050502899,장마 끝나면 펄펄..'8월 폭염' 작년보다 더 덥고 길다,머니투데이,폭염이 기승을 부렸던 6월과 달리 7월엔 선선한 날씨가 이어지면서 평년보다 1.4℃ 낮은 평균기온을 기록 중이다. 기상청은 장마철이 끝나는 8월 초부터는 기온이 오르...
http://v.media.daum.net/v/20200722200413401,"무주택자면 누구든 ""임대로 평생 거주""",MBC,"[뉴스데스크] ◀ 앵커 ▶ 경기도가 전국에서 처음, '기본 주택' 공급 계획을 발표했습니다. 기존 임대 주택이 소득, 자산, 나이를 따졌다면 이 기본 주택은 집이 없는 ..."
http://v.media.daum.net/v/20200723072846073,"가족도 모르는 박원순 아이폰XS 비밀번호, 피해자는 어떻게 알았나",머니투데이,경찰이 고(故) 박원순 서울시장가 사망 당시 지닌 휴대전화의 보안을 해제한 가운데 피해자 측이 비밀번호를 제보해 그 배경에 관심이 쏠린다. 서울지방경찰청 '박원순 ...
