링크,제목,신문사,요약
http://v.media.daum.net/v/20200723070011608,"[단독]""환불해줘"" 영화배우 A씨, 골프장 캐디에 도넘은 횡포",아시아경제,"[아시아경제 컬처라이프부 이이슬 기자] ""잘못을 했다면 모르지만 꼭 그렇지만도 않은데 부당하게 공격받으니 착잡하고 모욕감마저 느껴지네요.""(골프장 경기보조원) ""..."
http://v.media.daum.net/v/20200723094325258,"""죽어도 사랑""→""꽃뱀이냐""..불륜의 끝판왕 보여준 김제시의원",머니투데이,불륜설로 물의를 빚은 전북 김제시의회 남녀 시의원이 의원직을 잃었다. 김제시의회는 지난 22일 제241회 임시회 본회의를 열고 동료 의원과 부적절한 관계를 맺은 고미...
http://v.media.daum.net/v/20200723072846073,"가족도 모르는 박원순 아이폰XS 비밀번호, 피해자는 어떻게 알았나",머니투데이,경찰이 고(故) 박원순 서울시장가 사망 당시 지닌 휴대전화의 보안을 해제한 가운데 피해자 측이 비밀번호를 제보해 그 배경에 관심이 쏠린다. 서울지방경찰청 '박원순 ...
http://v.media.daum.net/v/20200723084339814,김영대·양부남 고검장 사의..다음주께 검찰 고위간부 인사,연합뉴스,(서울=연합뉴스) 김계연 기자 = 법무부가 검찰 간부 승진·전보 발령을 위한 인사검증에 들어간 가운데 윤석열 검찰총장의 사법연수원 1년 선배인 고검장 두 명이 사의...
http://v.media.daum.net/v/20200723093343816,음주운전 사고 현장 피하려다 2차 사고..20대 여성 2명 사망(종합),연합뉴스,(인천=연합뉴스) 신민재 김상연 기자 = 면허취소 수준의 음주운전 접촉사고에 따른 2차 추돌사고로 20대 여성 2명이 사망했다. 23일 인천지방경찰청 고속도로순찰대와 ...
http://v.media.daum.net/v/20200723081842132,멕시코로 돌아온 대통령 전용기..이번엔 새 주인 찾을까,연합뉴스,(멕시코시티=연합뉴스) 고미혜 특파원 = 멕시코 대통령이 팔려고 내놓은 전용기가 19개월 만에 다시 멕시코로 돌아왔다. 멕시코 일간 엘우니베르살 등에 따르면 보잉 78...
http://v.media.daum.net/v/20200723090757752,이스타항공 출범 13년만에 파산하나..대량 실직 우려 현실화,연합뉴스,(서울=연합뉴스) 장하나 기자 = 제주항공이 23일 끝내 이스타항공과의 '노딜'(인수 무산)을 선언하면서 전북을 기반으로 한 저비용항공사(LCC)인 이스타항공은 출범 13...
http://v.media.daum.net/v/20200723104729498,"수령 70년 넘은 나무 1만8000그루 '싹둑'..""토사 논밭 덮쳐""",뉴스1,(광주=뉴스1) 허단비 기자 = 개발제한구역(그린벨트) 1만8000평을 무단으로 훼손한 50대 건설업자가 검찰에 넘겨졌다. 광주 서부경찰서는 개발제한구역을 무단으로 훼손...
http://v.media.daum.net/v/20200723105513869,"태영호 ""주체사상 믿느냐"" 이인영 ""지금도 이전에도 아냐""",YTN,[태영호 / 미래통합당 의원] 반갑습니다. 우선 장관 후보자로 지명되신 걸 축하합니다. 저는 다른 사람들보다도 후보자님에 대한 궁금증이랄까 이런 게 대단히 많고요. ...
http://v.media.daum.net/v/20200723082704344,'윤석열 1기수 선배' 김영대·양부남 고검장 사직서 제출,뉴스1,(서울=뉴스1) 서미선 기자 = 김영대 서울고검장(57·사법연수원 22기)과 양부남 부산고검장(59·22기)이 최근 법무부에 사의를 표명한 것으로 확인됐다. 두 고검장은 윤...
http://v.media.daum.net/v/20200723073143150,"진중권 ""한동훈 녹음테이프 들어보니..중앙지검이 거짓말했다""",머니투데이,"진중권 전 동양대 교수가 새롭게 공개된 '검언유착' 의혹으로 수사를 받는 이동재 전 채널A 기자와 한동훈 검사장의 녹취 음성 파일에 ""아무리 다시 들어봐도 빼놓은 부..."
