상품명,링크,가격
"삼성전자 갤럭시북 이온 NT950XCJ-K78A (i7-10510U 39.6cm), 포함, NVMe 256GB + NVMe 256GB, 16GB",https://www.coupang.com/vp/products/1137914312?itemId=2517400150&vendorItemId=70510368267&sourceType=srp_product_ads,1959000
"LG전자 울트라 PC 노트북 14U390-EE1TK 화이트 (인텔 셀러론 N4100 35.5cm), eMMc 64GB + SSD 128GB, 4GB, WIN10 Home",https://www.coupang.com/vp/products/1149803634?itemId=2123503405&vendorItemId=70122096043,449000
"디클 클릭북 D14u (Celeron N4100 35.8cm WIN 10 eMMC 64GB), 로즈골드, 키스킨 랜덤 발송 + 유선마우스 + 패드",https://www.coupang.com/vp/products/232787159?itemId=1069768320&vendorItemId=5557944105,382900
"LG전자 2019 울트라 PC 노트북 15U490-GR36K 퓨어 화이트 (R3-2300U 39.6cm), SSD 128GB, 4GB, WIN10 Home",https://www.coupang.com/vp/products/1662958560?itemId=902674367&vendorItemId=5270923865,639000
"이태원클라쓰북 그램스타일 노트북 풀패키지미개봉 8세대 13.3IPS FHD 윈10탑재, 그레이, NB133LTN40 [SDD256G+32G]",https://www.coupang.com/vp/products/322895378?itemId=1034232763&vendorItemId=5485152332&sourceType=srp_product_ads,379000
"삼성전자 2020 갤럭시북 플렉스 NT950QCG-X716A (i7-1065G7 39.6cm MX250), NVMe 1TB, 16GB, WIN10 Home",https://www.coupang.com/vp/products/1665581271?itemId=2097952137&vendorItemId=70096835256&sourceType=srp_product_ads,2599000
"아이뮤즈 노트북 STORMBOOK (N3350 35.8cm WIN10 Graphics 500) + MS오피스, 포함, eMMC 64GB, 4GB",https://www.coupang.com/vp/products/1348981530?itemId=2376867898&vendorItemId=70372433503,264620
"레노버 노트북 V14-ARE 82DQ003AKR (R5-4500U 35.56cm WIN미포함), 미포함, NVMe 256GB, 8GB",https://www.coupang.com/vp/products/1676672325?itemId=2856499922&vendorItemId=70845799284,459000
"HP 프리미엄 비즈니스 컨버터블 노트북 EliteBook x360 1030 G4 8RB44PA (i7-8565U 33.8cm WIN10 16G 512NVME), 혼합 색상",https://www.coupang.com/vp/products/340923510?itemId=1085297527&vendorItemId=5591634569&sourceType=srp_product_ads,1469000
"LG전자 울트라 PC 노트북 14U390-EE1TK 화이트 (인텔 셀러론 N4100 35.5cm), eMMc 64GB, 4GB, Win10 S",https://www.coupang.com/vp/products/1149803634?itemId=2023248867&vendorItemId=70022894899,389300
"디클 클릭북 노트북 D141+ IPS (Atom-Z8350F 35.6cm eMMC 32G), 2GB, WIN10S, 화이트",https://www.coupang.com/vp/products/1214484733?itemId=101580567&vendorItemId=3189257704,224090
"LG전자 2019 울트라 PC 노트북 15UD490-GX36K 퓨어 화이트 (라이젠3-2300U 39.6cm), SSD 128GB, 4GB, Free DOS",https://www.coupang.com/vp/products/1662968739?itemId=864896538&vendorItemId=70101476067,482420
"삼성전자 노트북 플러스 NT550XCR-AD1A 플래티넘 티탄 (Celeron 5205U 39.6cm), NVMe 128GB, 4GB, WIN10 Home",https://www.coupang.com/vp/products/1460148774?itemId=2512339822&vendorItemId=70505369047,649000
"LG전자 2020년 그램17 노트북 17ZD90N-VX5BK (i5-1035G7 43.1cm), NVMe 256GB, 8GB, Free DOS",https://www.coupang.com/vp/products/1098837642?itemId=2057725149&vendorItemId=70056999452&pickType=COU_PICK,1530400
